time,accel_z,gyro_z,left_step_time,right_step_time
4.22,0.1607,-0.2689,,
4.24,-0.1134,-0.2225,,
4.26,0.0502,-0.1258,,
4.28,0.1811,-0.1217,,
4.3,0.3522,-0.0302,,
4.32,0.5152,0.0144,,
4.34,0.7411,0.1142,,
4.36,0.9478,0.1124,,
4.38,1.3303,0.127,,
4.4,1.5261,0.1455,,
4.42,1.6847,0.3071,,
4.44,1.9251,0.294,,
4.46,1.8912,0.2281,,
4.48,2.0805,0.3113,,
4.5,1.9407,0.2127,,
4.52,1.713,0.1236,,
4.54,1.6921,0.2077,,
4.56,1.3015,0.0963,,
4.58,1.4329,-0.0566,,
4.6,1.0686,-0.0908,,
4.62,1.0684,-0.1747,,
4.64,1.0074,-0.1535,,
4.66,0.9275,-0.1836,,
4.68,0.8589,-0.2017,,
4.7,0.4097,-0.3125,,
4.72,0.2645,-0.3533,,
4.74,0.2048,-0.2955,,
4.76,0.136,-0.3558,,
4.78,-0.1117,-0.2436,,
4.8,-0.0156,-0.2112,,
4.82,0.067,-0.1765,,
4.84,0.2894,-0.0563,,
4.86,0.4239,-0.0392,,
4.88,0.6776,-0.073,,
4.9,0.8831,0.1303,,
4.92,1.1128,0.197,,
4.94,1.5291,0.1668,,
4.96,1.6881,0.2562,,
4.98,1.8922,0.3242,,
5.0,1.9056,0.2573,,
5.02,1.8927,0.287,,
5.04,1.9251,0.28,,
5.06,1.6864,0.1586,,
5.08,1.607,0.1383,,
5.1,1.4108,0.1092,,
5.12,1.3508,0.0539,,
5.14,1.3331,-0.0409,,
5.16,1.3942,-0.1042,,
5.18,1.1472,-0.1453,,
5.2,1.0122,-0.3253,,
5.22,0.6738,-0.2385,,
5.24,0.6438,-0.165,,
5.26,0.4449,-0.2339,,
5.28,0.3267,-0.2508,,
5.3,0.1654,-0.2905,,
5.32,0.0759,-0.3061,,
5.34,0.1175,-0.2593,,
5.36,0.0736,-0.0476,,
5.38,0.1536,-0.0897,,
5.4,0.4902,-0.0216,,
5.42,0.5454,0.059,,
5.44,0.9672,0.1481,,
5.46,1.1174,0.2608,,
5.48,1.6224,0.2255,,
5.5,1.6961,0.2427,,
5.52,1.9609,0.2544,,
5.54,1.9673,0.2758,,
5.56,1.8438,0.3301,,
5.58,2.0031,0.2724,,
5.6,1.7168,0.2778,,
5.62,1.6692,0.2046,,
5.64,1.705,0.1874,,
5.66,1.3782,0.1798,,
5.68,1.3107,0.0363,,
5.7,1.127,-0.0737,,
5.72,0.8941,-0.0468,,
5.74,1.0727,-0.2544,,
5.76,0.6377,-0.322,,
5.78,0.7434,-0.2984,,
5.8,0.4492,-0.3109,,
5.82,0.2769,-0.354,,
5.84,0.1471,-0.3599,,
5.86,0.0348,-0.2457,,
5.88,0.0458,-0.2321,,
5.9,-0.0614,-0.1602,,
5.92,0.0885,-0.0287,,
5.94,0.3953,-0.0459,,
5.96,0.5121,-0.0062,,
5.98,0.7432,0.0787,,
6.0,1.1539,0.1845,,
6.02,1.451,0.3177,,
6.04,1.5509,0.2561,,
6.06,2.0679,0.1913,,
6.08,1.8342,0.3072,,
6.1,1.9311,0.3175,,
6.12,1.8613,0.298,,
6.14,1.8141,0.286,,
6.16,1.514,0.1579,,
6.18,1.5833,0.0945,,
6.2,1.3562,0.1138,,
6.22,1.2751,0.046,,
6.24,1.2961,-0.0393,,
6.26,1.1513,-0.1258,,
6.28,0.8297,-0.1816,,
6.3,0.8721,-0.2567,,
6.32,0.6576,-0.2306,,
6.34,0.4102,-0.2598,,
6.36,0.5155,-0.3277,,
6.38,0.1923,-0.2999,,
6.4,0.2167,-0.2534,,
6.42,0.0931,-0.2664,,
6.44,0.0126,-0.1827,,
6.46,-0.0748,-0.0509,,
6.48,0.3568,-0.1446,,
6.5,0.569,0.0051,,
6.52,0.8103,0.0982,,
6.54,0.9033,0.1332,,
6.56,1.4791,0.1714,,
6.58,1.4674,0.178,,
6.6,1.6308,0.2955,,
6.62,2.0377,0.3182,,
6.64,1.939,0.4107,,
6.66,1.8457,0.2518,,
6.68,1.8842,0.2842,,
6.7,1.6301,0.1561,,
6.72,1.6432,0.1734,,
6.74,1.3605,0.0888,,
6.76,1.3156,0.0545,,
6.78,1.2395,-0.0418,,
6.8,1.096,-0.0518,,
6.82,1.1433,-0.1844,,
6.84,0.9488,-0.2566,,
6.86,0.7158,-0.2224,,
6.88,0.6923,-0.3064,,
6.9,0.3631,-0.2896,,
6.92,0.0631,-0.295,,
6.94,0.0193,-0.2578,,
6.96,-0.101,-0.3413,,
6.98,0.0082,-0.1826,,
7.0,0.0184,-0.0941,,
7.02,0.1919,-0.1043,,
7.04,0.4805,-0.084,,
7.06,0.6273,0.062,,
7.08,1.0661,0.1203,,
7.1,1.2941,0.1542,,
7.12,1.5445,0.3188,,
7.14,1.6446,0.3902,,
7.16,1.7818,0.2945,,
7.18,1.9266,0.3511,,
7.2,1.7834,0.1853,,
7.22,1.9123,0.3051,,
7.24,1.8211,0.3578,,
7.26,1.6648,0.188,,
7.28,1.6149,0.1335,,
7.3,1.5663,-0.0133,,
7.32,1.2432,-0.1925,,
7.34,1.243,-0.1068,,
7.36,1.1295,-0.0436,,
7.38,0.9,-0.2193,,
7.4,0.6989,-0.2927,,
7.42,0.5205,-0.2498,,
7.44,0.4163,-0.2945,,
7.46,0.2328,-0.2524,,
7.48,0.1637,-0.2898,,
7.5,0.0915,-0.2598,,
7.52,-0.116,-0.1357,,
7.54,0.0952,-0.2015,,
7.56,0.2838,-0.0734,,
7.58,0.2175,0.0576,,
7.6,0.6595,0.0906,,
7.62,0.9287,0.1051,,
7.64,1.0398,0.2217,,
7.66,1.4588,0.2102,,
7.68,1.7044,0.268,,
7.7,1.8871,0.2711,,
7.72,1.8963,0.1929,,
7.74,1.8709,0.328,,
7.76,2.0034,0.2547,,
7.78,1.7724,0.3164,,
7.8,1.6415,0.2257,,
7.82,1.7206,0.1328,,
7.84,1.5529,0.0301,,
7.86,1.3311,-0.0069,,
7.88,1.2033,-0.015,,
7.9,1.3081,-0.1695,,
7.92,0.8786,-0.1688,,
7.94,0.6828,-0.2161,,
7.96,0.683,-0.2893,,
7.98,0.5083,-0.3728,,
8.0,0.365,-0.3768,,
8.02,0.0751,-0.3158,,
8.04,0.0019,-0.2182,,
8.06,0.0072,-0.2404,,
8.08,0.0833,-0.0891,,
8.1,0.1376,-0.0887,,
8.12,0.4425,-0.0267,,
8.14,0.4308,0.1534,,
8.16,1.0577,-0.0029,,
8.18,1.1206,0.1796,,
8.2,1.4907,0.2462,,
8.22,1.5942,0.2028,,
8.24,1.7987,0.3363,,
8.26,1.7774,0.2474,,
8.28,1.9132,0.2002,,
8.3,1.8591,0.2578,,
8.32,1.8539,0.2124,,
8.34,1.615,0.1824,,
8.36,1.5785,0.1129,,
8.38,1.4618,0.1199,,
8.4,1.4586,0.0995,,
8.42,1.1432,-0.0756,,
8.44,0.8522,-0.0256,,
8.46,0.8982,-0.1818,,
8.48,0.879,-0.2981,,
8.5,0.714,-0.2694,,
8.52,0.3155,-0.2772,,
8.54,0.4487,-0.3934,,
8.56,0.2584,-0.2819,,
8.58,0.1102,-0.2472,,
8.6,0.1337,-0.2431,,
8.62,0.1016,-0.2027,,
8.64,0.1756,-0.1637,,
8.66,0.256,0.0294,,
8.68,0.5392,0.0037,,
8.7,0.651,0.0403,,
8.72,1.0726,0.1908,,
8.74,1.3724,0.2264,,
8.76,1.5655,0.3136,,
8.78,1.7139,0.2512,,
8.8,1.9573,0.2999,,
8.82,1.8866,0.2702,,
8.84,1.872,0.3166,,
8.86,1.8667,0.1963,,
8.88,1.7742,0.2235,,
8.9,1.5141,0.1996,,
8.92,1.4632,0.0821,,
8.94,1.4495,0.0976,,
8.96,1.1823,-0.0156,,
8.98,1.0438,0.0112,,
9.0,0.9549,-0.1063,,
9.02,0.7994,-0.1782,,
9.04,0.9305,-0.3869,,
9.06,0.4975,-0.2622,,
9.08,0.3613,-0.3328,,
9.1,0.4281,-0.2918,,
9.12,-0.0775,-0.2337,,
9.14,-0.1601,-0.1849,,
9.16,-0.0534,-0.1884,,
9.18,0.1994,-0.1326,,
9.2,0.0801,-0.1588,,
9.22,0.551,0.0314,,
9.24,0.6135,0.106,,
9.26,1.0309,0.1608,,
9.28,1.0373,0.1719,,
9.3,1.6044,0.2723,,
9.32,1.8013,0.149,,
9.34,1.8631,0.3183,,
9.36,2.1644,0.2522,,
9.38,1.8742,0.2921,,
9.4,1.9403,0.2432,,
9.42,1.8734,0.1869,,
9.44,1.671,0.1489,,
9.46,1.5378,0.0805,,
9.48,1.2402,0.1033,,
9.5,1.3111,-0.0482,,
9.52,1.1818,-0.0386,,
9.54,0.9393,-0.1569,,
9.56,0.9545,-0.1802,,
9.58,0.7154,-0.3562,,
9.6,0.7079,-0.2654,,
9.62,0.4139,-0.3118,,
9.64,0.2764,-0.3194,,
9.66,0.0119,-0.3197,,
9.68,-0.0347,-0.2829,,
9.7,-0.1166,-0.1766,,
9.72,-0.0823,-0.1206,,
9.74,0.0744,-0.073,,
9.76,0.5113,-0.0127,,
9.78,0.5531,0.0485,,
9.8,0.9238,0.0259,,
9.82,1.1338,0.1813,,
9.84,1.4088,0.2285,,
9.86,1.7427,0.3024,,
9.88,1.9101,0.3191,,
9.9,1.8711,0.2989,,
9.92,1.8861,0.2785,,
9.94,1.8518,0.1867,,
9.96,1.7512,0.2361,,
9.98,1.5767,0.1878,,
10.0,1.6043,0.1226,,
10.02,1.6378,-0.0647,,
10.04,1.2897,-0.0943,,
10.06,1.2898,0.0612,,
10.08,0.8189,-0.1298,,
10.1,0.988,-0.2088,,
10.12,0.8434,-0.3531,,
10.14,0.7111,-0.2568,,
10.16,0.4575,-0.3247,,
10.18,0.3528,-0.3238,,
10.2,0.167,-0.3135,,
10.22,-0.1827,-0.2627,,
10.24,0.0192,-0.1828,,
10.26,-0.0586,-0.1699,,
10.28,0.1987,-0.0997,,
10.3,0.4428,0.0595,,
10.32,0.4684,-0.0671,,
10.34,0.9225,0.1729,,
10.36,1.2167,0.1995,,
10.38,1.3323,0.1771,,
10.4,1.7102,0.2099,,
10.42,1.6071,0.2348,,
10.44,2.1356,0.3949,,
10.46,1.8471,0.2606,,
10.48,1.9083,0.2422,,
10.5,1.9399,0.2435,,
10.52,1.5946,0.2676,,
10.54,1.5252,0.1572,,
10.56,1.4594,0.0667,,
10.58,1.3726,-0.0203,,
10.6,1.0371,-0.165,,
10.62,0.9739,-0.1585,,
10.64,0.9683,-0.1774,,
10.66,0.8823,-0.2242,,
10.68,0.5882,-0.3035,,
10.7,0.2862,-0.3002,,
10.72,0.3777,-0.2735,,
10.74,0.1655,-0.3011,,
10.76,0.1563,-0.2685,,
10.78,0.0771,-0.2028,,
10.8,0.0355,-0.1169,,
10.82,0.0455,-0.1409,,
10.84,0.1861,-0.097,,
10.86,0.6502,0.0996,,
10.88,0.7677,0.1083,,
10.9,1.1707,0.1842,,
10.92,1.4504,0.137,,
10.94,1.5057,0.2686,,
10.96,1.8965,0.2839,,
10.98,1.7826,0.279,,
11.0,1.8484,0.2561,,
11.02,2.0478,0.2542,,
11.04,1.8334,0.3649,,
11.06,1.85,0.2314,,
11.08,1.5529,0.1815,,
11.1,1.6534,0.13,,
11.12,1.4961,0.0364,,
11.14,1.3028,-0.0475,,
11.16,1.1741,-0.0395,,
11.18,0.8612,-0.1692,,
11.2,0.8882,-0.2473,,
11.22,0.6778,-0.2205,,
11.24,0.7411,-0.2558,,
11.26,0.4032,-0.377,,
11.28,0.4056,-0.2919,,
11.3,0.0835,-0.3323,,
11.32,0.0064,-0.2973,,
11.34,0.0114,-0.1724,,
11.36,0.0764,-0.1245,,
11.38,0.1341,-0.0026,,
11.4,0.3674,-0.0966,,
11.42,0.6763,0.0249,,
11.44,0.8802,0.1107,,
11.46,1.2923,0.1279,,
11.48,1.5006,0.307,,
11.5,1.7815,0.2642,,
11.52,1.859,0.2877,,
11.54,1.9044,0.3365,,
11.56,1.8979,0.1701,,
11.58,1.8495,0.2208,,
11.6,1.8238,0.1958,,
11.62,1.6592,0.2842,,
11.64,1.4173,0.0588,,
11.66,1.2588,-0.0711,,
11.68,1.0929,-0.0021,,
11.7,1.0979,-0.1816,,
11.72,0.8888,-0.1205,,
11.74,0.8231,-0.2249,,
11.76,0.7819,-0.183,,
11.78,0.7777,-0.2302,,
11.8,0.427,-0.2886,,
11.82,0.4303,-0.2267,,
11.84,0.0833,-0.2598,,
11.86,0.0537,-0.2496,,
11.88,-0.0507,-0.2748,,
11.9,-0.0047,-0.2308,,
11.92,0.2983,-0.0638,,
11.94,0.2533,0.0469,,
11.96,0.7153,-0.0494,,
11.98,1.0931,0.1531,,
